geometry,case,seed,branch,fraction,width,start_x,start_y,start_z,end_x,end_y,end_z
tree,seed_11_breaks_32,11,47,0.5,0.02,0.8004552002196497,0.5686077499313595,0.2375,0.8195447997803502,0.5626422500686405,0.2375
tree,seed_11_breaks_32,11,60,0.5,0.02,0.8004552002196497,0.7813922500686404,0.5875,0.8195447997803502,0.7873577499313594,0.5875
tree,seed_11_breaks_32,11,32,0.5,0.02,0.8004552002196497,0.2563922500686405,0.2375,0.8195447997803502,0.2623577499313595,0.2375
tree,seed_11_breaks_32,11,42,0.5,0.02,0.8004552002196497,0.2563922500686405,0.7625,0.8195447997803502,0.2623577499313595,0.7625
tree,seed_11_breaks_32,11,44,0.5,0.02,0.8004552002196497,0.43139225006864046,0.5875,0.8195447997803502,0.43735774993135945,0.5875
tree,seed_11_breaks_32,11,46,0.5,0.02,0.8004552002196497,0.43139225006864046,0.7625,0.8195447997803502,0.43735774993135945,0.7625
tree,seed_11_breaks_32,11,43,0.5,0.02,0.8004552002196497,0.39360774993135944,0.5875,0.8195447997803502,0.38764225006864056,0.5875
tree,seed_11_breaks_32,11,18,0.5,0.02,0.661520016959949,0.4125,0.36345001059996823,0.6784799830400509,0.4125,0.3740499894000318
tree,seed_11_breaks_32,11,37,0.5,0.02,0.8004552002196497,0.39360774993135944,0.4125,0.8195447997803502,0.38764225006864056,0.4125
tree,seed_11_breaks_32,11,49,0.5,0.02,0.8004552002196497,0.5686077499313595,0.4125,0.8195447997803502,0.5626422500686405,0.4125
tree,seed_11_breaks_32,11,33,0.5,0.02,0.8004552002196497,0.21860774993135945,0.4125,0.8195447997803502,0.21264225006864051,0.4125
tree,seed_11_breaks_32,11,45,0.5,0.02,0.8004552002196497,0.39360774993135944,0.7625,0.8195447997803502,0.38764225006864056,0.7625
tree,seed_11_breaks_32,11,7,0.5,0.02,0.521520016959949,0.2865499894000318,0.325,0.5384799830400508,0.2759500105999682,0.325
tree,seed_11_breaks_32,11,59,0.5,0.02,0.8004552002196497,0.7436077499313595,0.5875,0.8195447997803502,0.7376422500686405,0.5875
tree,seed_11_breaks_32,11,8,0.5,0.02,0.521520016959949,0.36345001059996823,0.325,0.5384799830400508,0.3740499894000318,0.325
tree,seed_29_breaks_1,29,15,0.5,0.02,0.661520016959949,0.2375,0.2865499894000318,0.6784799830400509,0.2375,0.2759500105999682
tree,seed_29_breaks_2,29,15,0.5,0.02,0.661520016959949,0.2375,0.2865499894000318,0.6784799830400509,0.2375,0.2759500105999682
tree,seed_29_breaks_2,29,33,0.5,0.02,0.8004552002196497,0.21860774993135945,0.4125,0.8195447997803502,0.21264225006864051,0.4125
tree,seed_29_breaks_4,29,15,0.5,0.02,0.661520016959949,0.2375,0.2865499894000318,0.6784799830400509,0.2375,0.2759500105999682
tree,seed_29_breaks_4,29,33,0.5,0.02,0.8004552002196497,0.21860774993135945,0.4125,0.8195447997803502,0.21264225006864051,0.4125
tree,seed_29_breaks_4,29,18,0.5,0.02,0.661520016959949,0.4125,0.36345001059996823,0.6784799830400509,0.4125,0.3740499894000318
tree,seed_29_breaks_4,29,9,0.5,0.02,0.521520016959949,0.2865499894000318,0.675,0.5384799830400508,0.2759500105999682,0.675
tree,seed_29_breaks_8,29,15,0.5,0.02,0.661520016959949,0.2375,0.2865499894000318,0.6784799830400509,0.2375,0.2759500105999682
tree,seed_29_breaks_8,29,33,0.5,0.02,0.8004552002196497,0.21860774993135945,0.4125,0.8195447997803502,0.21264225006864051,0.4125
tree,seed_29_breaks_8,29,18,0.5,0.02,0.661520016959949,0.4125,0.36345001059996823,0.6784799830400509,0.4125,0.3740499894000318
tree,seed_29_breaks_8,29,9,0.5,0.02,0.521520016959949,0.2865499894000318,0.675,0.5384799830400508,0.2759500105999682,0.675
tree,seed_29_breaks_8,29,6,0.5,0.02,0.3837530495244557,0.675,0.5796913119055698,0.3962469504755442,0.675,0.5953086880944303
tree,seed_29_breaks_8,29,29,0.5,0.02,0.661520016959949,0.7625,0.6365499894000319,0.6784799830400509,0.7625,0.6259500105999682
tree,seed_29_breaks_8,29,24,0.5,0.02,0.661520016959949,0.5875,0.36345001059996823,0.6784799830400509,0.5875,0.3740499894000318
tree,seed_29_breaks_8,29,36,0.5,0.02,0.8004552002196497,0.43139225006864046,0.2375,0.8195447997803502,0.43735774993135945,0.2375
tree,seed_29_breaks_16,29,15,0.5,0.02,0.661520016959949,0.2375,0.2865499894000318,0.6784799830400509,0.2375,0.2759500105999682
tree,seed_29_breaks_16,29,33,0.5,0.02,0.8004552002196497,0.21860774993135945,0.4125,0.8195447997803502,0.21264225006864051,0.4125
tree,seed_29_breaks_16,29,18,0.5,0.02,0.661520016959949,0.4125,0.36345001059996823,0.6784799830400509,0.4125,0.3740499894000318
tree,seed_29_breaks_16,29,9,0.5,0.02,0.521520016959949,0.2865499894000318,0.675,0.5384799830400508,0.2759500105999682,0.675
tree,seed_29_breaks_16,29,6,0.5,0.02,0.3837530495244557,0.675,0.5796913119055698,0.3962469504755442,0.675,0.5953086880944303
tree,seed_29_breaks_16,29,29,0.5,0.02,0.661520016959949,0.7625,0.6365499894000319,0.6784799830400509,0.7625,0.6259500105999682
tree,seed_29_breaks_16,29,24,0.5,0.02,0.661520016959949,0.5875,0.36345001059996823,0.6784799830400509,0.5875,0.3740499894000318
tree,seed_29_breaks_16,29,36,0.5,0.02,0.8004552002196497,0.43139225006864046,0.2375,0.8195447997803502,0.43735774993135945,0.2375
tree,seed_29_breaks_16,29,40,0.5,0.02,0.8004552002196497,0.2563922500686405,0.5875,0.8195447997803502,0.2623577499313595,0.5875
tree,seed_29_breaks_16,29,7,0.5,0.02,0.521520016959949,0.2865499894000318,0.325,0.5384799830400508,0.2759500105999682,0.325
tree,seed_29_breaks_16,29,8,0.5,0.02,0.521520016959949,0.36345001059996823,0.325,0.5384799830400508,0.3740499894000318,0.325
tree,seed_29_breaks_16,29,58,0.5,0.02,0.8004552002196497,0.6063922500686405,0.7625,0.8195447997803502,0.6123577499313595,0.7625
tree,seed_29_breaks_16,29,59,0.5,0.02,0.8004552002196497,0.7436077499313595,0.5875,0.8195447997803502,0.7376422500686405,0.5875
tree,seed_29_breaks_16,29,52,0.5,0.02,0.8004552002196497,0.7813922500686404,0.2375,0.8195447997803502,0.7873577499313594,0.2375
tree,seed_29_breaks_16,29,32,0.5,0.02,0.8004552002196497,0.2563922500686405,0.2375,0.8195447997803502,0.2623577499313595,0.2375
tree,seed_29_breaks_16,29,27,0.5,0.02,0.661520016959949,0.5875,0.6365499894000319,0.6784799830400509,0.5875,0.6259500105999682
tree,seed_29_breaks_32,29,15,0.5,0.02,0.661520016959949,0.2375,0.2865499894000318,0.6784799830400509,0.2375,0.2759500105999682
tree,seed_29_breaks_32,29,33,0.5,0.02,0.8004552002196497,0.21860774993135945,0.4125,0.8195447997803502,0.21264225006864051,0.4125
tree,seed_29_breaks_32,29,18,0.5,0.02,0.661520016959949,0.4125,0.36345001059996823,0.6784799830400509,0.4125,0.3740499894000318
tree,seed_29_breaks_32,29,9,0.5,0.02,0.521520016959949,0.2865499894000318,0.675,0.5384799830400508,0.2759500105999682,0.675
tree,seed_29_breaks_32,29,6,0.5,0.02,0.3837530495244557,0.675,0.5796913119055698,0.3962469504755442,0.675,0.5953086880944303
tree,seed_29_breaks_32,29,29,0.5,0.02,0.661520016959949,0.7625,0.6365499894000319,0.6784799830400509,0.7625,0.6259500105999682
tree,seed_29_breaks_32,29,24,0.5,0.02,0.661520016959949,0.5875,0.36345001059996823,0.6784799830400509,0.5875,0.3740499894000318
tree,seed_29_breaks_32,29,36,0.5,0.02,0.8004552002196497,0.43139225006864046,0.2375,0.8195447997803502,0.43735774993135945,0.2375
tree,seed_29_breaks_32,29,40,0.5,0.02,0.8004552002196497,0.2563922500686405,0.5875,0.8195447997803502,0.2623577499313595,0.5875
tree,seed_29_breaks_32,29,7,0.5,0.02,0.521520016959949,0.2865499894000318,0.325,0.5384799830400508,0.2759500105999682,0.325
tree,seed_29_breaks_32,29,8,0.5,0.02,0.521520016959949,0.36345001059996823,0.325,0.5384799830400508,0.3740499894000318,0.325
tree,seed_29_breaks_32,29,58,0.5,0.02,0.8004552002196497,0.6063922500686405,0.7625,0.8195447997803502,0.6123577499313595,0.7625
tree,seed_29_breaks_32,29,59,0.5,0.02,0.8004552002196497,0.7436077499313595,0.5875,0.8195447997803502,0.7376422500686405,0.5875
tree,seed_29_breaks_32,29,52,0.5,0.02,0.8004552002196497,0.7813922500686404,0.2375,0.8195447997803502,0.7873577499313594,0.2375
tree,seed_29_breaks_32,29,32,0.5,0.02,0.8004552002196497,0.2563922500686405,0.2375,0.8195447997803502,0.2623577499313595,0.2375
tree,seed_29_breaks_32,29,27,0.5,0.02,0.661520016959949,0.5875,0.6365499894000319,0.6784799830400509,0.5875,0.6259500105999682
tree,seed_29_breaks_32,29,13,0.5,0.02,0.521520016959949,0.6365499894000319,0.675,0.5384799830400508,0.6259500105999682,0.675
tree,seed_29_breaks_32,29,16,0.5,0.02,0.661520016959949,0.2375,0.36345001059996823,0.6784799830400509,0.2375,0.3740499894000318
tree,seed_29_breaks_32,29,25,0.5,0.02,0.661520016959949,0.7625,0.2865499894000318,0.6784799830400509,0.7625,0.2759500105999682
tree,seed_29_breaks_32,29,62,0.5,0.02,0.8004552002196497,0.7813922500686404,0.7625,0.8195447997803502,0.7873577499313594,0.7625
tree,seed_29_breaks_32,29,19,0.5,0.02,0.661520016959949,0.2375,0.6365499894000319,0.6784799830400509,0.2375,0.6259500105999682
tree,seed_29_breaks_32,29,35,0.5,0.02,0.8004552002196497,0.39360774993135944,0.2375,0.8195447997803502,0.38764225006864056,0.2375
tree,seed_29_breaks_32,29,48,0.5,0.02,0.8004552002196497,0.6063922500686405,0.2375,0.8195447997803502,0.6123577499313595,0.2375
tree,seed_29_breaks_32,29,1,0.5,0.02,0.24375304952445573,0.4203086880944303,0.5,0.2562469504755442,0.4046913119055697,0.5
tree,seed_29_breaks_32,29,53,0.5,0.02,0.8004552002196497,0.7436077499313595,0.4125,0.8195447997803502,0.7376422500686405,0.4125
tree,seed_29_breaks_32,29,42,0.5,0.02,0.8004552002196497,0.2563922500686405,0.7625,0.8195447997803502,0.2623577499313595,0.7625
tree,seed_29_breaks_32,29,14,0.5,0.02,0.521520016959949,0.7134500105999682,0.675,0.5384799830400508,0.7240499894000318,0.675
tree,seed_29_breaks_32,29,61,0.5,0.02,0.8004552002196497,0.7436077499313595,0.7625,0.8195447997803502,0.7376422500686405,0.7625
tree,seed_29_breaks_32,29,45,0.5,0.02,0.8004552002196497,0.39360774993135944,0.7625,0.8195447997803502,0.38764225006864056,0.7625
tree,seed_29_breaks_32,29,51,0.5,0.02,0.8004552002196497,0.7436077499313595,0.2375,0.8195447997803502,0.7376422500686405,0.2375
tree,seed_29_breaks_32,29,30,0.5,0.02,0.661520016959949,0.7625,0.7134500105999682,0.6784799830400509,0.7625,0.7240499894000318
tree,seed_29_breaks_32,29,46,0.5,0.02,0.8004552002196497,0.43139225006864046,0.7625,0.8195447997803502,0.43735774993135945,0.7625
tree,seed_47_breaks_1,47,56,0.5,0.02,0.8004552002196497,0.6063922500686405,0.5875,0.8195447997803502,0.6123577499313595,0.5875
tree,seed_47_breaks_2,47,56,0.5,0.02,0.8004552002196497,0.6063922500686405,0.5875,0.8195447997803502,0.6123577499313595,0.5875
tree,seed_47_breaks_2,47,38,0.5,0.02,0.8004552002196497,0.43139225006864046,0.4125,0.8195447997803502,0.43735774993135945,0.4125
tree,seed_47_breaks_4,47,56,0.5,0.02,0.8004552002196497,0.6063922500686405,0.5875,0.8195447997803502,0.6123577499313595,0.5875
tree,seed_47_breaks_4,47,38,0.5,0.02,0.8004552002196497,0.43139225006864046,0.4125,0.8195447997803502,0.43735774993135945,0.4125
tree,seed_47_breaks_4,47,31,0.5,0.02,0.8004552002196497,0.21860774993135945,0.2375,0.8195447997803502,0.21264225006864051,0.2375
tree,seed_47_breaks_4,47,33,0.5,0.02,0.8004552002196497,0.21860774993135945,0.4125,0.8195447997803502,0.21264225006864051,0.4125
tree,seed_47_breaks_8,47,56,0.5,0.02,0.8004552002196497,0.6063922500686405,0.5875,0.8195447997803502,0.6123577499313595,0.5875
tree,seed_47_breaks_8,47,38,0.5,0.02,0.8004552002196497,0.43139225006864046,0.4125,0.8195447997803502,0.43735774993135945,0.4125
tree,seed_47_breaks_8,47,31,0.5,0.02,0.8004552002196497,0.21860774993135945,0.2375,0.8195447997803502,0.21264225006864051,0.2375
tree,seed_47_breaks_8,47,33,0.5,0.02,0.8004552002196497,0.21860774993135945,0.4125,0.8195447997803502,0.21264225006864051,0.4125
tree,seed_47_breaks_8,47,43,0.5,0.02,0.8004552002196497,0.39360774993135944,0.5875,0.8195447997803502,0.38764225006864056,0.5875
tree,seed_47_breaks_8,47,21,0.5,0.02,0.661520016959949,0.4125,0.6365499894000319,0.6784799830400509,0.4125,0.6259500105999682
tree,seed_47_breaks_8,47,5,0.5,0.02,0.3837530495244557,0.675,0.4203086880944303,0.3962469504755442,0.675,0.4046913119055697
tree,seed_47_breaks_8,47,26,0.5,0.02,0.661520016959949,0.7625,0.36345001059996823,0.6784799830400509,0.7625,0.3740499894000318
tree,seed_47_breaks_16,47,56,0.5,0.02,0.8004552002196497,0.6063922500686405,0.5875,0.8195447997803502,0.6123577499313595,0.5875
tree,seed_47_breaks_16,47,38,0.5,0.02,0.8004552002196497,0.43139225006864046,0.4125,0.8195447997803502,0.43735774993135945,0.4125
tree,seed_47_breaks_16,47,31,0.5,0.02,0.8004552002196497,0.21860774993135945,0.2375,0.8195447997803502,0.21264225006864051,0.2375
tree,seed_47_breaks_16,47,33,0.5,0.02,0.8004552002196497,0.21860774993135945,0.4125,0.8195447997803502,0.21264225006864051,0.4125
tree,seed_47_breaks_16,47,43,0.5,0.02,0.8004552002196497,0.39360774993135944,0.5875,0.8195447997803502,0.38764225006864056,0.5875
tree,seed_47_breaks_16,47,21,0.5,0.02,0.661520016959949,0.4125,0.6365499894000319,0.6784799830400509,0.4125,0.6259500105999682
tree,seed_47_breaks_16,47,5,0.5,0.02,0.3837530495244557,0.675,0.4203086880944303,0.3962469504755442,0.675,0.4046913119055697
tree,seed_47_breaks_16,47,26,0.5,0.02,0.661520016959949,0.7625,0.36345001059996823,0.6784799830400509,0.7625,0.3740499894000318
tree,seed_47_breaks_16,47,58,0.5,0.02,0.8004552002196497,0.6063922500686405,0.7625,0.8195447997803502,0.6123577499313595,0.7625
tree,seed_47_breaks_16,47,18,0.5,0.02,0.661520016959949,0.4125,0.36345001059996823,0.6784799830400509,0.4125,0.3740499894000318
tree,seed_47_breaks_16,47,24,0.5,0.02,0.661520016959949,0.5875,0.36345001059996823,0.6784799830400509,0.5875,0.3740499894000318
tree,seed_47_breaks_16,47,62,0.5,0.02,0.8004552002196497,0.7813922500686404,0.7625,0.8195447997803502,0.7873577499313594,0.7625
tree,seed_47_breaks_16,47,37,0.5,0.02,0.8004552002196497,0.39360774993135944,0.4125,0.8195447997803502,0.38764225006864056,0.4125
tree,seed_47_breaks_16,47,60,0.5,0.02,0.8004552002196497,0.7813922500686404,0.5875,0.8195447997803502,0.7873577499313594,0.5875
tree,seed_47_breaks_16,47,15,0.5,0.02,0.661520016959949,0.2375,0.2865499894000318,0.6784799830400509,0.2375,0.2759500105999682
tree,seed_47_breaks_16,47,14,0.5,0.02,0.521520016959949,0.7134500105999682,0.675,0.5384799830400508,0.7240499894000318,0.675
tree,seed_47_breaks_32,47,56,0.5,0.02,0.8004552002196497,0.6063922500686405,0.5875,0.8195447997803502,0.6123577499313595,0.5875
tree,seed_47_breaks_32,47,38,0.5,0.02,0.8004552002196497,0.43139225006864046,0.4125,0.8195447997803502,0.43735774993135945,0.4125
tree,seed_47_breaks_32,47,31,0.5,0.02,0.8004552002196497,0.21860774993135945,0.2375,0.8195447997803502,0.21264225006864051,0.2375
tree,seed_47_breaks_32,47,33,0.5,0.02,0.8004552002196497,0.21860774993135945,0.4125,0.8195447997803502,0.21264225006864051,0.4125
tree,seed_47_breaks_32,47,43,0.5,0.02,0.8004552002196497,0.39360774993135944,0.5875,0.8195447997803502,0.38764225006864056,0.5875
tree,seed_47_breaks_32,47,21,0.5,0.02,0.661520016959949,0.4125,0.6365499894000319,0.6784799830400509,0.4125,0.6259500105999682
tree,seed_47_breaks_32,47,5,0.5,0.02,0.3837530495244557,0.675,0.4203086880944303,0.3962469504755442,0.675,0.4046913119055697
tree,seed_47_breaks_32,47,26,0.5,0.02,0.661520016959949,0.7625,0.36345001059996823,0.6784799830400509,0.7625,0.3740499894000318
tree,seed_47_breaks_32,47,58,0.5,0.02,0.8004552002196497,0.6063922500686405,0.7625,0.8195447997803502,0.6123577499313595,0.7625
tree,seed_47_breaks_32,47,18,0.5,0.02,0.661520016959949,0.4125,0.36345001059996823,0.6784799830400509,0.4125,0.3740499894000318
tree,seed_47_breaks_32,47,24,0.5,0.02,0.661520016959949,0.5875,0.36345001059996823,0.6784799830400509,0.5875,0.3740499894000318
tree,seed_47_breaks_32,47,62,0.5,0.02,0.8004552002196497,0.7813922500686404,0.7625,0.8195447997803502,0.7873577499313594,0.7625
tree,seed_47_breaks_32,47,37,0.5,0.02,0.8004552002196497,0.39360774993135944,0.4125,0.8195447997803502,0.38764225006864056,0.4125
tree,seed_47_breaks_32,47,60,0.5,0.02,0.8004552002196497,0.7813922500686404,0.5875,0.8195447997803502,0.7873577499313594,0.5875
tree,seed_47_breaks_32,47,15,0.5,0.02,0.661520016959949,0.2375,0.2865499894000318,0.6784799830400509,0.2375,0.2759500105999682
tree,seed_47_breaks_32,47,14,0.5,0.02,0.521520016959949,0.7134500105999682,0.675,0.5384799830400508,0.7240499894000318,0.675
tree,seed_47_breaks_32,47,1,0.5,0.02,0.24375304952445573,0.4203086880944303,0.5,0.2562469504755442,0.4046913119055697,0.5
tree,seed_47_breaks_32,47,25,0.5,0.02,0.661520016959949,0.7625,0.2865499894000318,0.6784799830400509,0.7625,0.2759500105999682
tree,seed_47_breaks_32,47,3,0.5,0.02,0.3837530495244557,0.325,0.4203086880944303,0.3962469504755442,0.325,0.4046913119055697
tree,seed_47_breaks_32,47,12,0.5,0.02,0.521520016959949,0.7134500105999682,0.325,0.5384799830400508,0.7240499894000318,0.325
tree,seed_47_breaks_32,47,6,0.5,0.02,0.3837530495244557,0.675,0.5796913119055698,0.3962469504755442,0.675,0.5953086880944303
tree,seed_47_breaks_32,47,57,0.5,0.02,0.8004552002196497,0.5686077499313595,0.7625,0.8195447997803502,0.5626422500686405,0.7625
tree,seed_47_breaks_32,47,8,0.5,0.02,0.521520016959949,0.36345001059996823,0.325,0.5384799830400508,0.3740499894000318,0.325
tree,seed_47_breaks_32,47,44,0.5,0.02,0.8004552002196497,0.43139225006864046,0.5875,0.8195447997803502,0.43735774993135945,0.5875
tree,seed_47_breaks_32,47,50,0.5,0.02,0.8004552002196497,0.6063922500686405,0.4125,0.8195447997803502,0.6123577499313595,0.4125
tree,seed_47_breaks_32,47,54,0.5,0.02,0.8004552002196497,0.7813922500686404,0.4125,0.8195447997803502,0.7873577499313594,0.4125
tree,seed_47_breaks_32,47,40,0.5,0.02,0.8004552002196497,0.2563922500686405,0.5875,0.8195447997803502,0.2623577499313595,0.5875
tree,seed_47_breaks_32,47,41,0.5,0.02,0.8004552002196497,0.21860774993135945,0.7625,0.8195447997803502,0.21264225006864051,0.7625
tree,seed_47_breaks_32,47,59,0.5,0.02,0.8004552002196497,0.7436077499313595,0.5875,0.8195447997803502,0.7376422500686405,0.5875
tree,seed_47_breaks_32,47,61,0.5,0.02,0.8004552002196497,0.7436077499313595,0.7625,0.8195447997803502,0.7376422500686405,0.7625
