geometry,case,seed,n_breaks,n_components,retained_length,removed_length,detached_length,detached_fraction,tissue_n,mpi_size,tissue_cells,network_cells,total_dofs,inlet_flux,wall_exchange,tissue_boundary_outflow,tissue_mean_pressure,tissue_l2_norm,vessel_l2_norm,axial_flow_l2_norm,energy,conservation_relative_error,energy_relative_error,linear_relative_residual,inlet_bc_error,assembly_seconds,solve_seconds,ksp_reason,relative_inlet_flux_change,relative_tissue_mean_change,tissue_relative_l2_error,vessel_retained_relative_l2_error,axial_flow_retained_relative_l2_error,total_seconds,saved_tissue_solution
y,gap_both_daughters,,2,3,1.3033981132059005,0.039999999999760005,0.45169905660295023,0.34655494129259523,24,8,82944,132,15760,0.003790795400562011,0.003790795400562133,0.0037907954005621386,0.0001806825524710221,0.00031860141708303484,0.5457679238158806,0.001692035916534403,0.003790795400561717,3.363467610660081e-14,7.756568163359564e-14,3.8353511910819187e-16,0.0,8.311098797945306,0.20151441008783877,4,-0.10526919678631819,-0.03071125140233344,0.16150989835261478,0.38725120613849523,0.22109201246995136,21.81286052800715,True
tree,intact,,0,1,10.100583457311929,0.0,0,0.0,40,8,384000,1156,70078,0.007832553643085877,0.007832553643086384,0.007832553643086673,0.00030185815429948417,0.00043931741433843763,0.47369507804720234,0.003454937147943684,0.007832553643085782,1.0165753236509617e-13,1.2181185795382042e-14,4.436843811669145e-16,0.0,38.33142176014371,1.5665488059166819,4,0.0,0.0,0.0,0.0,0.0,66.58063052012585,True
tree,seed_11_breaks_1,11,1,2,10.080583457311992,0.0199999999999374,0.06333836393733262,0.006283204162293789,40,8,384000,1153,70076,0.007830220772865581,0.007830220772865314,0.007830220772865605,0.00030202941697063087,0.0004396457714230821,0.47416832192101827,0.0034532761025851543,0.007830220772865116,3.411748187563068e-14,5.937328014720496e-14,5.394340311803052e-16,0.0,27.88790835812688,1.3866172088310122,4,-0.0002978428653795939,0.0005673614202807986,0.004582154847797139,0.030824121130384855,0.0048485705652290545,37.049439172958955,False
tree,seed_11_breaks_2,11,2,3,10.060583457312056,0.039999999999873026,0.12667672787466525,0.012591389794852931,40,8,384000,1150,70074,0.007827472979852906,0.007827472979853332,0.007827472979853627,0.00030219142654256835,0.00043995096906469274,0.47469575074789944,0.0034513810048385322,0.007827472979852871,9.219386229295076e-14,4.432397225622652e-15,4.58789062042776e-16,0.0,57.28896169993095,1.4047157410532236,4,-0.0006486598706484381,0.001104069041492739,0.00937111435567792,0.04468713945826504,0.009363507344657233,67.00522022997029,False
tree,seed_11_breaks_4,11,4,5,10.020583457312098,0.07999999999983132,1.1794586778378708,0.11770359309539113,40,8,384000,1144,70070,0.007747751375655943,0.0077477513756554275,0.007747751375655717,0.0002993607623533489,0.00043736288368698394,0.48470078941568234,0.0034070075584422452,0.007747751375655208,6.64983744811368e-14,9.482175620459295e-14,5.163485961878445e-16,0.0,68.31396677414887,1.3992334930226207,4,-0.010826899028619219,-0.00827339566801144,0.06235834947885526,0.16132085820591446,0.07464616692506969,78.03747587208636,False
tree,seed_11_breaks_8,11,8,9,9.940583457312508,0.15999999999942105,4.745426487785179,0.47737907016859665,40,8,384000,1132,70062,0.006938008918804758,0.006938008918805881,0.006938008918806129,0.0002750792310916763,0.0004231838132302102,0.5330496277706135,0.0030430972527245334,0.0069380089188045965,1.9765020826694266e-13,2.3252965678464383e-14,6.104818351746738e-16,0.0,76.8793718421366,1.4449727379251271,4,-0.11420856658553136,-0.088713598842321,0.21559801384105534,0.40948902530910664,0.30299197167448333,86.61681507201865,False
tree,seed_11_breaks_16,11,16,17,9.780583457312746,0.31999999999918316,9.15031008653716,0.935558714515713,40,8,384000,1108,70046,0.0036647867702910724,0.0036647867702913808,0.003664786770291504,0.00014893463577261094,0.00030475290013943596,0.5953450588301007,0.0013218934116921858,0.0036647867702907446,1.177455856769965e-13,8.946297766011791e-14,4.44188540302799e-16,0.0,124.23950405791402,1.557856058003381,4,-0.5321083088238874,-0.506607213847708,0.5890829577369605,0.7859945114550803,0.7008088499556798,134.48141295905225,False
tree,seed_11_breaks_32,11,32,33,9.460583457313586,0.6399999999983432,8.830310086537999,0.9333790168841702,40,8,384000,1060,70014,0.0036647863462738106,0.003664786346274763,0.0036647863462748865,0.00014894760818213616,0.0003047897123640267,0.5953451300195215,0.0013218931945573817,0.003664786346273929,2.9359480589328337e-13,3.230607900397572e-14,4.568245064897855e-16,0.0,48.64820324187167,1.4261504099704325,4,-0.532108362959139,-0.506564238664363,0.5890664622895703,0.7837767996133063,0.6995720186386725,63.36636449000798,True
tree,seed_29_breaks_1,29,1,2,10.080583457311906,0.020000000000022666,0.36590079065468806,0.03629758061169401,40,8,384000,1153,70076,0.00781664100068869,0.007816641000688435,0.007816641000688731,0.00030331903893626505,0.00044268297726595833,0.47639970265142834,0.003444699151447593,0.00781664100068828,3.2623265024723964e-14,5.237476561792693e-14,5.696192566703484e-16,0.0,24.53290358511731,1.2870230828411877,4,-0.002031603372577462,0.0048396394663285935,0.02338526337546241,0.0799901090618486,0.02468716718317284,34.31878047995269,False
tree,seed_29_breaks_2,29,2,3,10.06058345731197,0.03999999999995829,0.42923915459202067,0.04266543351221368,40,8,384000,1150,70074,0.007813016505093334,0.007813016505093306,0.007813016505093605,0.0003037822009796978,0.0004435855643290425,0.47707422646697845,0.003442234027044623,0.007813016505093072,3.46366684462993e-14,3.352651881661134e-14,4.425351760906119e-16,0.0,39.24954737001099,1.5184727429877967,4,-0.0024943509974922895,0.006374009291479021,0.02547637433958117,0.08837917704958605,0.02668518308260936,49.60881393495947,False
tree,seed_29_breaks_4,29,4,5,10.020583457311927,0.08000000000000185,1.7845835312725815,0.17809177867486223,40,8,384000,1144,70070,0.007712310312290735,0.007712310312290943,0.00771231031229123,0.0003047338805193259,0.00044935041486866996,0.49076818100620995,0.003383424613262037,0.007712310312290601,6.421727502355565e-14,1.73195452778069e-14,4.4111134928243406e-16,0.0,37.170972937950864,1.4538790888618678,4,-0.01535174047627319,0.009526746847423606,0.07179461891381858,0.2051422587184008,0.08137374133013792,47.10666701383889,False
tree,seed_29_breaks_8,29,8,9,9.940583457312089,0.15999999999984027,4.459859201882484,0.4486516531986765,40,8,384000,1132,70062,0.007246454638382398,0.007246454638381453,0.007246454638381718,0.00029043505752163553,0.0004414729560229986,0.5240649056139843,0.003164300699227667,0.0072464546383818286,1.304671513983842e-13,7.863937474196804e-14,5.081271884839158e-16,0.0,38.592914396198466,1.3812586448621005,4,-0.07482859759547933,-0.03784259797240852,0.18667485453145718,0.3705322053199174,0.22878157970798027,48.47794739808887,False
tree,seed_29_breaks_16,29,16,17,9.780583457312343,0.3199999999995864,5.463606428687837,0.5586176379490974,40,8,384000,1108,70046,0.006993838843475464,0.006993838843476188,0.006993838843476449,0.00028557724447021536,0.000443858598097322,0.5494631260519004,0.003016199254864437,0.006993838843475264,1.4088442076042858e-13,2.852413448494674e-14,5.916303149249078e-16,0.0,38.008005880052224,1.53657516092062,4,-0.10708063268111567,-0.05393563035277804,0.2266369032195897,0.453365654737994,0.2698209638667206,47.976266687968746,False
tree,seed_29_breaks_32,29,32,33,9.460583457312927,0.6399999999990023,7.482751879703535,0.7909397885940587,40,8,384000,1060,70014,0.004826598594477789,0.00482659859447785,0.004826598594478019,0.0001926478465131371,0.00033585479535783684,0.5441048953538635,0.0022199073863273123,0.004826598594477447,4.7801410825603945e-14,7.080359347853116e-14,5.36625884606876e-16,0.0,53.0046610890422,1.4750026559922844,4,-0.3837771416045864,-0.3617934656752577,0.46758953134220693,0.6473216028732264,0.5953055218374168,70.36345778009854,True
tree,seed_47_breaks_1,47,1,2,10.080583457311992,0.0199999999999374,0.06333836393733262,0.006283204162293789,40,8,384000,1153,70076,0.007830220772865026,0.007830220772865864,0.007830220772866154,0.00030202941697065076,0.0004396457714231101,0.4741683219210395,0.003453276102585109,0.007830220772865099,1.4400235856598385e-13,9.304767784263484e-15,4.827045821271557e-16,0.0,6.761705894954503,1.3009299179539084,4,-0.00029784286545042615,0.0005673614203467459,0.004582154847806465,0.030824121130384137,0.004848570565226935,16.363427350996062,False
tree,seed_47_breaks_2,47,2,3,10.060583457312056,0.039999999999873026,0.12667672787466525,0.012591389794852931,40,8,384000,1150,70074,0.007827888647626026,0.007827888647626274,0.007827888647626565,0.00030216419406965277,0.0004398921627779545,0.4746409540412879,0.0034516142926555786,0.007827888647625545,6.892011694525083e-14,6.138544178082203e-14,4.610324744841695e-16,0.0,10.184025967959315,1.2737762639299035,4,-0.0005955906173676917,0.001013852916707858,0.0072206456820352915,0.04360474807347901,0.006840845232129794,20.932971340836957,False
tree,seed_47_breaks_4,47,4,5,10.020583457312183,0.07999999999974605,0.2533534557493305,0.025283303794496552,40,8,384000,1144,70070,0.007822917604138118,0.007822917604138465,0.007822917604138757,0.00030296205596734734,0.00044139514208441766,0.4756566234760166,0.0034480559004179847,0.007822917604137773,8.160360002025071e-14,4.412803370660491e-14,4.2655332817870717e-16,0.0,27.109771825140342,1.6778482149820775,4,-0.0012302550849766503,0.0036570211940272213,0.011439794540836946,0.06316069589836053,0.009473846911543618,37.45092871412635,False
tree,seed_47_breaks_8,47,8,9,9.940583457312345,0.15999999999958447,2.8452907624219637,0.28622975448477855,40,8,384000,1132,70062,0.007381010409052583,0.007381010409052606,0.0073810104090528865,0.000288738644464525,0.0004325037732120601,0.5058644271919337,0.003250391540937162,0.007381010409052396,4.1129410673044685e-14,2.5382722015365367e-14,4.3280952797338716e-16,0.0,53.0128397278022,1.7054679451975971,4,-0.05764955525480375,-0.04346249934975366,0.16483541833228885,0.2921118923672576,0.21390607831094505,60.47884399094619,False
tree,seed_47_breaks_16,47,16,17,9.780583457312511,0.31999999999941764,4.383197565820176,0.44815297420145744,40,8,384000,1108,70046,0.007189304236490014,0.00718930423648971,0.007189304236489988,0.0002906011909033936,0.0004444643884186099,0.530324770874632,0.003130363355255086,0.007189304236489525,4.222614571728772e-14,6.804441767014827e-14,4.63835802415566e-16,0.0,44.01956850895658,1.7259800231549889,4,-0.08212511984053705,-0.03729222893519102,0.1969722897801707,0.39488006186488,0.23611914910778603,51.6831706170924,False
tree,seed_47_breaks_32,47,32,33,9.460583457313337,0.6399999999985919,8.83031008653775,0.9333790168841685,40,8,384000,1060,70014,0.0036647864804479776,0.003664786480448471,0.0036647864804485912,0.00014895325275647082,0.0003047854378165479,0.595345107973612,0.001321893256597671,0.003664786480447796,1.674472531757929e-13,4.958332090506057e-14,5.241852421993057e-16,0.0,52.09465562715195,1.4447562268469483,4,-0.5321083458288169,-0.5065455392379792,0.5890336247007021,0.7844827633119684,0.7004610731547072,69.91313394811004,True
tree,seed_83_breaks_1,83,1,2,10.08058345731207,0.01999999999985924,2.2660365160179032,0.2247921983498095,40,8,384000,1153,70076,0.0074102655937136235,0.007410265593713919,0.0074102655937142116,0.0002882749634157528,0.00043084046562076985,0.5006971998801357,0.003271461094936672,0.007410265593713397,7.935899879958664e-14,3.054970307771791e-14,4.208121489845783e-16,0.0,23.400762245990336,1.4843163911718875,4,-0.05391447905946034,-0.04499858854319694,0.1583131352501891,0.2695271661017374,0.2127990493122926,33.74614865309559,False
tree,seed_83_breaks_2,83,2,3,10.060583457312134,0.039999999999794866,2.329374879955236,0.2315347703081994,40,8,384000,1150,70074,0.007407758041606212,0.007407758041606827,0.007407758041607121,0.00028862979042007124,0.0004315520109598545,0.5011876904266929,0.003269556214239012,0.0074077580416059925,1.2270853020663065e-13,2.962333792202144e-14,5.32355341294536e-16,0.0,12.955881473142654,2.0077579710632563,4,-0.054234623960047856,-0.0438231125811781,0.1583336738747359,0.27159857029402856,0.21282144376716042,24.086760761216283,False
tree,seed_83_breaks_4,83,4,5,10.020583457312261,0.07999999999966789,2.372713243892632,0.23678394117472332,40,8,384000,1144,70070,0.007405188913855893,0.007405188913855878,0.007405188913856177,0.0002890906132554164,0.0004324035203163961,0.5016938778730566,0.0032675948458706647,0.007405188913855468,3.841828390466538e-14,5.739316802831438e-14,5.82765003778717e-16,0.0,15.376246073981747,1.6229234598577023,4,-0.05456263036350051,-0.04229649211795239,0.1579493347009514,0.2732463882928009,0.21283140044291154,25.49184879101813,False
tree,seed_83_breaks_8,83,8,9,9.940583457312593,0.15999999999933578,4.745426487785264,0.4773790701686011,40,8,384000,1132,70062,0.006521977672214748,0.006521977672215506,0.006521977672215752,0.00026151827252647136,0.0004145243755642168,0.5546425332748031,0.0028428373629475435,0.006521977672214684,1.538701267144632e-13,9.841304560821424e-15,5.248984390114736e-16,0.0,32.22682110616006,1.3682377978693694,4,-0.16732422535376168,-0.13363853584352792,0.26933694260854757,0.48233536833580226,0.3772692719926646,43.32024630205706,False
tree,seed_83_breaks_16,83,16,17,9.780583457312675,0.3199999999992542,6.129029650404185,0.6266527633197257,40,8,384000,1108,70046,0.006416763117315079,0.0064167631173148235,0.006416763117315066,0.0002647832943899545,0.0004269911197274678,0.5706741530603713,0.0027564694732427576,0.006416763117314352,3.987551169157724e-14,1.1340865867537999e-13,5.579792621433394e-16,0.0,42.512395962839946,1.4422545451670885,4,-0.18075720771099668,-0.12282212483399202,0.2938215656091788,0.5312881631081117,0.3798222348790432,48.76677788095549,False
tree,seed_83_breaks_32,83,32,33,9.460583457313174,0.6399999999987553,7.518164962455251,0.7946830125623591,40,8,384000,1060,70014,0.0050502991786085406,0.005050299178607198,0.005050299178607384,0.00020817710962521457,0.0003598153184918089,0.5498991170705748,0.002295765275507391,0.0050502991786076,2.65860679322365e-13,1.8617117337564427e-13,6.124399812560289e-16,0.0,56.16444461606443,1.5681123139802366,4,-0.3552167774724848,-0.3103479012905026,0.44135245062110817,0.6468484593867087,0.5613555995761982,74.33093010890298,True
tree,seed_101_breaks_1,101,1,2,10.080583457311992,0.0199999999999374,0.06333836393733261,0.0062832041622937875,40,8,384000,1153,70076,0.007830213717410328,0.007830213717410685,0.007830213717410982,0.0003021755272914063,0.00043993594011375114,0.474170802672263,0.00345327088624201,0.007830213717410084,8.35214432256326e-14,3.123746285096701e-14,4.546938417106062e-16,0.0,13.417549764038995,1.6375572739634663,4,-0.0002987436514545472,0.0010513977754176285,0.004859325951842871,0.030867128320443006,0.004855562390348811,24.15601264499128,False
tree,seed_101_breaks_2,101,2,3,10.06058345731197,0.03999999999995829,0.4292391545920206,0.04266543351221367,40,8,384000,1150,70074,0.00781429014205209,0.007814290142053341,0.007814290142053636,0.00030255708272323853,0.00044116566341816175,0.47687651991227864,0.003443002172732566,0.007814290142052377,1.9779642027592273e-13,3.662896671776212e-14,4.0801269997708143e-16,0.0,9.660357352113351,1.6255760618951172,4,-0.0023317428601218326,0.0023154200534232228,0.022966076066505425,0.08598623507169241,0.024971275404285946,20.015572553966194,False
tree,seed_101_breaks_4,101,4,5,10.020583457312254,0.079999999999675,4.877973822690558,0.48679538905800807,40,8,384000,1144,70070,0.006926201151308394,0.006926201151307692,0.0069262011513079366,0.0002739529040250906,0.00042208291930686035,0.5343441341787798,0.003035779773786645,0.006926201151307717,1.013103187019142e-13,9.767867563349914e-14,5.438675924875996e-16,0.0,21.88491655094549,1.2746334429830313,4,-0.11571609121088611,-0.09244491121716647,0.2197772117202828,0.4157431852106478,0.3048981739751378,32.8015508109238,False
tree,seed_101_breaks_8,101,8,9,9.940583457312501,0.15999999999942816,7.493512725111131,0.7538302713608572,40,8,384000,1132,70062,0.0048894170735339654,0.004889417073534352,0.00488941707353449,0.00019230475358290297,0.0003312845101458697,0.5342118269430116,0.0022836966856308524,0.004889417073533723,1.0732441998524445e-13,4.9670805943586674e-14,5.427555186650833e-16,0.0,47.280920404940844,1.3588170839939266,4,-0.3757569630116663,-0.36293006882924683,0.4608755868673145,0.6222560500643262,0.5950892067959896,53.28987691691145,False
tree,seed_101_breaks_16,101,16,17,9.78058345731252,0.31999999999940876,9.74058345731252,0.9959102644362086,40,8,384000,1109,70047,0.0003132950179189486,0.0003132950179191529,0.0003132950179191577,7.331188345846838e-06,2.2313540177346034e-05,0.19958143736714604,3.5876811630335816e-05,0.00031329501791896633,6.673849790293251e-13,5.658151105589239e-14,3.121993722309715e-17,0.0,62.100768595933914,1.4804048789665103,4,-0.9600009100230668,-0.9757131346580311,0.9729916801916625,0.9141177652597696,0.9954420546477124,72.32268006610684,False
tree,seed_101_breaks_32,101,32,33,9.460583457313197,0.6399999999987322,9.420583457313196,0.9957719309617125,40,8,384000,1061,70015,0.0003132950166517612,0.0003132950166519474,0.0003132950166519522,7.3317387605356124e-06,2.2314605974516046e-05,0.1995814381290794,3.587678017001066e-05,0.00031329501665178667,6.097652775763421e-13,8.132510796278589e-14,4.1155746907984427e-17,0.0,62.28019139287062,1.4811569140292704,4,-0.9600009101848515,-0.9757113112363976,0.9729892380939044,0.9135749463955075,0.9954401955112201,80.15642506699078,True
